,name,nationality,team,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,position,age,born
0,Max Aarons,eng ENG,Bournemouth,13.7,450,581,77.5,7402,2789,220,248,88.7,188,235,80.0,34,63,54.0,1,0.8,0.9,+0.2,7,25,13,2,43,DF,23,2000
1,Joshua Acheampong,eng ENG,Chelsea,0.1,1,2,50.0,18,7,0,0,,1,1,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,DF,17,2006
2,Bénie Adama Traore,ci CIV,Sheffield Utd,4.3,55,71,77.5,775,185,34,38,89.5,19,23,82.6,1,1,100.0,0,0.5,0.5,-0.5,4,2,7,1,9,"FW,MF",20,2002
3,Tyler Adams,us USA,Bournemouth,1.3,59,71,83.1,973,262,35,39,89.7,18,24,75.0,6,8,75.0,0,0.1,0.0,-0.1,1,9,0,0,5,MF,24,1999
4,Tosin Adarabioyo,eng ENG,Fulham,18.0,1028,1216,84.5,21010,7956,277,307,90.2,627,699,89.7,115,177,65.0,0,0.1,0.3,-0.1,2,47,2,0,62,DF,25,1997
5,Elijah Adebayo,eng ENG,Luton Town,15.8,144,204,70.6,1847,385,94,122,77.0,41,60,68.3,3,6,50.0,0,0.7,0.4,-0.7,14,9,4,0,23,FW,25,1998
6,Simon Adingra,ci CIV,Brighton,24.7,634,840,75.5,8828,1713,412,491,83.9,185,245,75.5,20,38,52.6,1,3.7,3.5,-2.7,33,17,33,11,50,FW,21,2002
7,Nayef Aguerd,ma MAR,West Ham,20.6,943,1177,80.1,19870,8804,335,360,93.1,452,493,91.7,143,297,48.1,0,0.3,0.4,-0.3,4,74,2,0,68,DF,27,1996
8,Brandon Aguilera,cr CRC,Nott'ham Forest,0.1,4,8,50.0,48,23,3,6,50.0,1,2,50.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,0,FW,20,2003
9,Naouirou Ahamada,fr FRA,Crystal Palace,3.9,150,187,80.2,2455,628,76,89,85.4,59,69,85.5,10,14,71.4,0,0.0,0.1,0.0,1,12,0,0,25,"MF,FW",21,2002
10,Anel Ahmedhodžić,ba BIH,Sheffield Utd,29.4,745,988,75.4,12681,5037,334,384,87.0,345,422,81.8,53,137,38.7,0,0.8,0.6,-0.8,7,41,3,1,43,DF,24,1999
11,Ola Aina,ng NGA,Nott'ham Forest,18.8,603,802,75.2,9610,4012,328,374,87.7,217,284,76.4,45,99,45.5,1,0.9,1.0,+0.1,11,58,13,6,68,DF,26,1996
12,Rayan Aït-Nouri,dz ALG,Wolves,25.9,1005,1190,84.5,13946,3935,627,688,91.1,297,344,86.3,38,72,52.8,1,2.4,1.7,-1.4,25,60,13,4,99,"DF,MF",22,2001
13,Kristoffer Ajer,no NOR,Brentford,20.4,610,810,75.3,10210,3786,291,337,86.4,263,332,79.2,45,103,43.7,1,2.3,2.7,-1.3,12,56,10,3,61,DF,25,1998
14,Manuel Akanji,ch SUI,Manchester City,27.9,2180,2334,93.4,35688,9787,1091,1136,96.0,923,975,94.7,126,163,77.3,0,0.5,1.8,-0.5,13,214,15,2,148,"DF,MF",28,1995
15,Nathan Aké,nl NED,Manchester City,22.7,1716,1864,92.1,26189,8717,882,921,95.8,750,796,94.2,43,85,50.6,2,1.2,1.1,+0.8,10,148,5,1,116,DF,28,1995
16,Thiago Alcántara,es ESP,Liverpool,0.1,7,10,70.0,130,30,3,3,100.0,3,4,75.0,1,2,50.0,0,0.0,0.0,0.0,0,0,0,0,0,MF,32,1991
17,Trent Alexander-Arnold,eng ENG,Liverpool,23.9,1553,2062,75.3,30386,12434,676,734,92.1,607,762,79.7,244,495,49.3,4,7.2,6.1,-3.2,64,202,57,18,205,DF,24,1998
18,Alisson,br BRA,Liverpool,28.0,985,1142,86.3,21428,13147,238,239,99.6,597,607,98.4,147,284,51.8,0,0.0,0.0,0.0,1,8,0,0,5,GK,30,1992
19,Miguel Almirón,py PAR,Newcastle Utd,21.5,669,802,83.4,9068,1853,411,456,90.1,208,250,83.2,22,39,56.4,1,2.6,2.4,-1.6,24,38,21,3,78,FW,29,1994
20,Edson Álvarez,mx MEX,West Ham,26.4,1033,1207,85.6,17083,5225,518,573,90.4,401,445,90.1,87,132,65.9,1,0.6,0.8,+0.4,12,87,6,1,91,MF,25,1997
21,Julián Álvarez,ar ARG,Manchester City,29.4,1011,1258,80.4,13977,2992,615,679,90.6,272,328,82.9,58,145,40.0,8,6.4,6.3,+1.6,67,43,41,4,103,"MF,FW",23,2000
22,Zeki Amdouni,ch SUI,Burnley,21.7,396,500,79.2,6229,1153,216,265,81.5,141,161,87.6,24,35,68.6,1,1.4,1.3,-0.4,16,28,9,0,49,FW,22,2000
23,Sofyan Amrabat,ma MAR,Manchester Utd,10.4,578,664,87.0,10308,2747,244,274,89.1,264,296,89.2,56,67,83.6,0,0.3,0.4,-0.3,6,62,6,1,66,"MF,DF",26,1996
24,Joachim Andersen,dk DEN,Crystal Palace,37.9,1731,2209,78.4,37874,14700,488,559,87.3,950,1041,91.3,281,547,51.4,3,2.8,2.3,+0.2,20,171,17,8,147,DF,27,1996
25,Elliot Anderson,sct SCO,Newcastle Utd,11.4,371,461,80.5,5046,1322,241,274,88.0,108,130,83.1,8,27,29.6,2,1.9,1.2,+0.1,15,36,12,0,57,"MF,FW",20,2002
26,Jaidon Anthony,eng ENG,Bournemouth,1.7,30,45,66.7,453,139,17,20,85.0,10,14,71.4,1,6,16.7,0,0.0,0.0,0.0,0,3,1,0,8,FW,23,1999
27,Michail Antonio,jm JAM,West Ham,18.8,180,308,58.4,2635,626,111,154,72.1,48,90,53.3,13,26,50.0,2,0.9,1.3,+1.1,8,13,7,2,22,FW,33,1990
28,Antony,br BRA,Manchester Utd,14.7,468,595,78.7,6175,1608,295,348,84.8,130,153,85.0,16,30,53.3,1,2.8,1.9,-1.8,22,26,29,3,64,FW,23,2000
29,Oliver Arblaster,eng ENG,Sheffield Utd,10.5,349,438,79.7,5894,1788,173,200,86.5,146,166,88.0,26,50,52.0,0,0.7,0.9,-0.7,11,37,6,0,43,MF,19,2004
30,Cameron Archer,eng ENG,Sheffield Utd,20.4,266,332,80.1,3245,471,171,207,82.6,64,69,92.8,5,9,55.6,1,2.8,1.4,-1.8,23,11,7,2,15,"FW,MF",22,2001
31,Cameron Archer,eng ENG,Aston Villa,0.1,5,6,83.3,42,0,5,6,83.3,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,MF,22,2001
32,Alphonse Areola,fr FRA,West Ham,30.0,562,867,64.8,17799,12917,74,76,97.4,245,246,99.6,241,538,44.8,0,0.0,0.0,0.0,0,8,0,0,1,GK,30,1993
33,Lorenz Assignon,tg TOG,Burnley,13.7,352,485,72.6,5411,1984,182,225,80.9,152,194,78.4,10,31,32.3,2,2.6,1.6,-0.6,13,16,10,5,34,DF,23,2000
34,Serge Aurier,ci CIV,Nott'ham Forest,9.3,348,448,77.7,5238,2147,191,225,84.9,130,156,83.3,17,45,37.8,2,0.5,0.5,+1.5,4,31,9,4,47,"DF,MF",30,1992
35,Taiwo Awoniyi,ng NGA,Nott'ham Forest,11.6,127,175,72.6,1594,312,88,111,79.3,34,47,72.3,3,5,60.0,3,1.7,0.9,+1.3,10,6,3,0,14,FW,25,1997
36,Jordan Ayew,gh GHA,Crystal Palace,28.3,681,920,74.0,9753,1856,417,478,87.2,213,285,74.7,24,74,32.4,7,4.2,2.7,+2.8,25,43,26,10,63,"FW,MF",31,1991
37,Benoît Badiashile,fr FRA,Chelsea,14.9,1065,1173,90.8,18737,7087,442,463,95.5,543,584,93.0,71,106,67.0,1,1.5,0.9,-0.5,6,48,4,0,46,DF,22,2001
38,Leon Bailey,jm JAM,Aston Villa,23.0,573,790,72.5,8993,2559,327,391,83.6,184,242,76.0,48,82,58.5,9,9.2,7.3,-0.2,52,38,51,7,82,"MF,FW",25,1997
39,Stefan Bajcetic,es ESP,Liverpool,0.3,7,10,70.0,101,44,3,3,100.0,4,6,66.7,0,0,,0,0.0,0.0,0.0,0,0,0,0,1,MF,18,2004
40,George Baldock,gr GRE,Sheffield Utd,10.8,291,397,73.3,4602,1810,169,191,88.5,100,124,80.6,18,52,34.6,1,0.8,0.6,+0.2,7,18,11,4,31,DF,30,1993
41,Carlos Baleba,cm CMR,Brighton,14.7,713,775,92.0,10618,2185,402,429,93.7,267,278,96.0,24,30,80.0,0,0.3,0.3,-0.3,8,38,3,0,50,MF,19,2004
42,Fodé Ballo-Touré,sn SEN,Fulham,0.8,56,78,71.8,1002,224,23,30,76.7,26,33,78.8,6,8,75.0,0,0.0,0.0,0.0,0,3,0,0,0,"DF,MF",26,1997
43,Shandon Baptiste,gd GRN,Brentford,2.5,66,90,73.3,1144,351,33,39,84.6,25,28,89.3,7,15,46.7,1,0.2,0.4,+0.8,4,7,3,2,5,MF,25,1998
44,Valentín Barco,ar ARG,Brighton,3.4,179,233,76.8,2509,864,120,131,91.6,47,64,73.4,7,23,30.4,0,0.2,0.4,-0.2,4,10,3,0,14,"DF,FW",19,2004
45,Ross Barkley,eng ENG,Luton Town,29.1,1218,1474,82.6,21602,6544,550,611,90.0,473,533,88.7,147,226,65.0,4,3.7,2.7,+0.3,44,138,27,1,163,MF,29,1993
46,Harvey Barnes,eng ENG,Newcastle Utd,8.9,208,272,76.5,2981,750,128,147,87.1,68,84,81.0,7,16,43.8,3,3.2,1.9,-0.2,13,11,17,3,34,"FW,MF",25,1997
47,Chris Basham,eng ENG,Sheffield Utd,3.6,103,138,74.6,1506,484,62,70,88.6,31,45,68.9,6,14,42.9,0,0.3,0.1,-0.3,2,7,2,0,7,"DF,MF",35,1988
48,Calvin Bassey,ng NGA,Fulham,25.6,1440,1674,86.0,27276,9421,483,514,94.0,787,855,92.0,141,246,57.3,0,0.0,0.2,0.0,1,80,2,0,62,DF,23,1999
49,Owen Beck,wls WAL,Liverpool,0.1,3,4,75.0,31,1,2,3,66.7,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,DF,20,2002
50,Donny van de Beek,nl NED,Manchester Utd,0.0,1,1,100.0,7,0,1,1,100.0,0,0,,0,0,,0,0.1,0.0,-0.1,1,0,0,0,0,DF,26,1997
51,Amari'i Bell,jm JAM,Luton Town,19.1,645,835,77.2,10680,4470,324,372,87.1,270,315,85.7,44,108,40.7,0,0.5,0.4,-0.5,8,63,8,0,76,DF,29,1994
52,Jean-Ricner Bellegarde,fr FRA,Wolves,10.6,241,314,76.8,3452,786,144,161,89.4,76,98,77.6,14,29,48.3,1,1.0,0.8,0.0,12,17,7,0,39,"MF,FW",25,1998
53,Anis Ben Slimane,tn TUN,Sheffield Utd,4.7,92,139,66.2,1322,373,47,70,67.1,35,43,81.4,4,5,80.0,0,0.3,0.1,-0.3,3,6,2,0,12,MF,22,2001
54,Saïd Benrahma,dz ALG,West Ham,6.9,193,257,75.1,2587,504,116,138,84.1,56,76,73.7,8,15,53.3,1,1.4,0.8,-0.4,11,11,11,2,28,"FW,MF",27,1995
55,Rodrigo Bentancur,uy URU,Tottenham,11.2,674,800,84.3,10011,2610,384,426,90.1,244,282,86.5,29,41,70.7,1,0.5,1.1,+0.5,8,69,11,1,72,MF,26,1997
56,Daniel Bentley,eng ENG,Wolves,4.3,96,144,66.7,2347,1661,30,30,100.0,37,37,100.0,28,76,36.8,0,0.0,0.0,0.0,0,2,0,0,0,GK,30,1993
57,Jóhann Berg Guðmundsson,is ISL,Burnley,13.2,396,544,72.8,7505,2234,164,184,89.1,159,203,78.3,61,124,49.2,3,2.7,2.5,+0.3,35,36,18,6,59,"MF,FW",32,1990
58,Sander Berge,no NOR,Burnley,33.4,1376,1562,88.1,24429,5168,568,637,89.2,658,711,92.5,125,154,81.2,2,2.4,1.6,-0.4,29,129,16,1,164,MF,25,1998
59,Luke Berry,eng ENG,Luton Town,3.6,64,99,64.6,984,310,38,45,84.4,18,32,56.3,6,15,40.0,1,0.3,0.1,+0.7,2,5,0,0,8,"MF,DF",31,1992
60,Beto,gw GNB,Everton,10.6,108,180,60.0,1451,323,66,98,67.3,34,53,64.2,5,7,71.4,0,0.9,0.3,-0.9,11,7,6,0,14,FW,25,1998
61,Jordan Beyer,de GER,Burnley,13.7,766,861,89.0,14232,3759,270,298,90.6,421,446,94.4,64,92,69.6,1,0.3,0.2,+0.7,3,28,1,0,25,DF,23,2000
62,Philip Billing,dk DEN,Bournemouth,15.5,404,537,75.2,6037,1791,232,279,83.2,121,153,79.1,31,56,55.4,2,3.2,2.1,-1.2,23,39,15,4,53,MF,27,1996
63,Yves Bissouma,ml MLI,Tottenham,23.0,1689,1842,91.7,25078,7214,948,1006,94.2,607,651,93.2,68,84,81.0,0,0.4,1.7,-0.4,11,156,12,0,169,MF,26,1996
64,Benicio Boaitey,eng ENG,Brighton,0.4,13,20,65.0,188,30,8,11,72.7,5,8,62.5,0,0,,0,0.1,0.1,-0.1,1,0,0,0,2,"FW,DF",19,2004
65,Oscar Bobb,no NOR,Manchester City,3.4,155,177,87.6,2056,478,101,107,94.4,44,51,86.3,4,4,100.0,1,1.2,1.3,-0.2,9,3,19,1,25,"FW,MF",20,2003
66,Jayden Bogle,eng ENG,Sheffield Utd,31.0,684,968,70.7,10589,3926,405,472,85.8,216,301,71.8,51,124,41.1,0,1.0,1.2,-1.0,10,45,20,5,60,DF,23,2000
67,Willy Boly,ci CIV,Nott'ham Forest,16.0,503,671,75.0,9362,4059,201,229,87.8,239,304,78.6,49,109,45.0,1,1.3,0.8,-0.3,9,34,8,0,32,DF,32,1991
68,Sven Botman,nl NED,Newcastle Utd,15.3,921,1017,90.6,17027,6760,357,382,93.5,459,489,93.9,98,132,74.2,2,1.0,0.6,+1.0,5,38,1,0,35,DF,23,2000
69,Jarrod Bowen,eng ENG,West Ham,33.5,484,702,68.9,6899,1825,284,341,83.3,141,188,75.0,34,71,47.9,6,5.5,4.8,+0.5,31,29,13,3,52,FW,26,1996
70,Conor Bradley,nir NIR,Liverpool,8.4,419,530,79.1,6224,1849,238,275,86.5,149,190,78.4,20,35,57.1,3,1.5,1.2,+1.5,15,27,13,3,29,DF,20,2003
71,Jarrad Branthwaite,eng ENG,Everton,34.6,1105,1385,79.8,20561,8048,440,507,86.8,531,612,86.8,115,212,54.2,0,1.0,1.3,-1.0,4,60,1,0,74,DF,21,2002
72,Ben Brereton,cl CHI,Sheffield Utd,12.3,200,265,75.5,2833,720,127,149,85.2,58,76,76.3,12,17,70.6,1,1.5,1.1,-0.5,8,22,12,2,37,"FW,MF",24,1999
73,Rhian Brewster,eng ENG,Sheffield Utd,3.8,52,76,68.4,702,178,35,41,85.4,10,22,45.5,4,7,57.1,0,0.1,0.1,-0.1,2,6,1,0,3,"FW,MF",23,2000
74,Armando Broja,al ALB,Chelsea,5.0,83,94,88.3,932,91,60,64,93.8,15,18,83.3,1,2,50.0,0,0.2,0.3,-0.2,3,2,2,0,6,FW,21,2001
75,Armando Broja,al ALB,Fulham,1.0,19,27,70.4,200,71,15,19,78.9,4,5,80.0,0,0,,1,0.4,0.0,+0.6,1,4,1,0,2,FW,21,2001
76,Andre Brooks,eng ENG,Sheffield Utd,10.4,196,261,75.1,2943,511,109,131,83.2,80,97,82.5,6,19,31.6,0,0.1,0.3,-0.1,3,11,5,0,18,"MF,DF",19,2003
77,David Brooks,wls WAL,Bournemouth,3.1,95,132,72.0,1545,666,47,55,85.5,34,42,81.0,10,23,43.5,1,1.0,0.5,0.0,8,14,12,3,21,"FW,MF",26,1997
78,Jacob Brown,sct SCO,Luton Town,11.3,136,247,55.1,1865,626,91,127,71.7,35,56,62.5,6,24,25.0,0,0.7,0.4,-0.7,8,6,3,1,19,"MF,FW",25,1998
79,Josh Brownhill,eng ENG,Burnley,25.0,850,1106,76.9,13206,3449,451,532,84.8,311,393,79.1,55,114,48.2,2,2.1,2.1,-0.1,34,71,16,0,90,MF,27,1995
80,Jacob Bruun Larsen,dk DEN,Burnley,13.9,378,526,71.9,6208,1406,208,257,80.9,120,162,74.1,39,64,60.9,0,1.5,1.8,-1.5,25,12,13,2,38,"MF,FW",24,1998
81,Hugo Bueno,es ESP,Wolves,8.2,318,406,78.3,4380,1005,211,237,89.0,92,117,78.6,11,27,40.7,0,0.8,0.7,-0.8,6,11,8,8,8,"DF,MF",20,2002
82,Santiago Bueno,uy URU,Wolves,9.1,426,480,88.8,7158,2158,177,192,92.2,223,237,94.1,18,37,48.6,0,0.1,0.0,-0.1,2,16,0,0,11,DF,24,1998
83,Facundo Buonanotte,ar ARG,Brighton,15.2,404,478,84.5,5038,1028,270,306,88.2,95,109,87.2,9,15,60.0,1,1.8,1.2,-0.8,18,26,14,1,42,"FW,MF",18,2004
84,Reece Burke,eng ENG,Luton Town,18.4,547,719,76.1,10396,4169,200,247,81.0,280,325,86.2,57,120,47.5,4,1.4,0.9,+2.6,13,58,9,3,67,DF,26,1996
